# Fields: PRG CRC, Name, Genie Code (HEX), Pro Action Rocky Code (HEX), Address (HEX), Value (HEX), Compare Value (HEX), IsPrgOffset, Description
DF58FC5A;10-Yard Fight (USA, Europe);ZEEXIPIE;;;;;0;Your team runs faster
C4E8C04A;1942 (Japan, USA);SZXLKEVK;;;;;0;Infinite lives - 1P game
C4E8C04A;1942 (Japan, USA);OLZNEE;;;;;0;Don't die when touched
C4E8C04A;1942 (Japan, USA);PAEIXKNY;;;;;0;Most enemies die instantly
C4E8C04A;1942 (Japan, USA);SZESPUVK;;;;;0;Infinite rolls
C4E8C04A;1942 (Japan, USA);AEUSGZAP;;;;;0;Rapid fire
C4E8C04A;1942 (Japan, USA);ALKUTGEL;;;;;0;Hit anywhere (1 of 4)
C4E8C04A;1942 (Japan, USA);SXULIKSO;;;;;0;Hit anywhere (2 of 4)
C4E8C04A;1942 (Japan, USA);SZELGKSO;;;;;0;Hit anywhere (3 of 4)
C4E8C04A;1942 (Japan, USA);SZKULGAX;;;;;0;Hit anywhere (4 of 4)
C4E8C04A;1942 (Japan, USA);IESUTYZA;;;;;0;Start with 6 lives - 1P game
C4E8C04A;1942 (Japan, USA);AESUTYZE;;;;;0;Start with 9 lives - 1P game
C4E8C04A;1942 (Japan, USA);IAKUUAZA;;;;;0;After continue, P1 has 6 lives in 2P game
C4E8C04A;1942 (Japan, USA);AAKUUAZE;;;;;0;After continue, P1 has 9 lives in 2P game
C4E8C04A;1942 (Japan, USA);IASUOAZA;;;;;0;P2 has 6 lives - 2P game
C4E8C04A;1942 (Japan, USA);AASUOAZE;;;;;0;P2 has 9 lives - 2P game
C4E8C04A;1942 (Japan, USA);PASIOALE;;;;;0;Start with 9 rolls - both players
C4E8C04A;1942 (Japan, USA);;;0432;02;;0;Infinite lives
C4E8C04A;1942 (Japan, USA);;;0436;03;;0;Infinite rolls (alt)
C4E8C04A;1942 (Japan, USA);;;048E;88;;0;Invincibility
12C6D5C7;1943 - The Battle of Midway (USA);SUTXGN;;;;;0;Infinite power-ups
12C6D5C7;1943 - The Battle of Midway (USA);SGOUZUVK;;;;;0;Infinite weapon upgrade time
12C6D5C7;1943 - The Battle of Midway (USA);OUNLAZGA;;;;;0;Infinite energy
12C6D5C7;1943 - The Battle of Midway (USA);SXVLZXSE;;;;;0;Infinite energy (alt 2) (1 of 2)
12C6D5C7;1943 - The Battle of Midway (USA);VVOULXVK;;;;;0;Infinite energy (alt 2) (2 of 2)
12C6D5C7;1943 - The Battle of Midway (USA);NSKIELGA;;;;;0;Don't instantly die from touching boss planes
12C6D5C7;1943 - The Battle of Midway (USA);LEEPXLAE;;;;;0;Always shoot power shots
12C6D5C7;1943 - The Battle of Midway (USA);ZESNLLLE;;;;;0;10 power points
12C6D5C7;1943 - The Battle of Midway (USA);GOSNLLLA;;;;;0;20 power points
12C6D5C7;1943 - The Battle of Midway (USA);TOSNLLLE;;;;;0;30 power points
12C6D5C7;1943 - The Battle of Midway (USA);AENSKLAP;;;;;0;Hit anywhere (1 of 7)
12C6D5C7;1943 - The Battle of Midway (USA);GZESEGEL;;;;;0;Hit anywhere (2 of 7)
12C6D5C7;1943 - The Battle of Midway (USA);SLSKOEOO;;;;;0;Hit anywhere (3 of 7)
12C6D5C7;1943 - The Battle of Midway (USA);SXOINUOO;;;;;0;Hit anywhere (4 of 7)
12C6D5C7;1943 - The Battle of Midway (USA);SXXGVEOO;;;;;0;Hit anywhere (5 of 7)
12C6D5C7;1943 - The Battle of Midway (USA);SZKTSXOO;;;;;0;Hit anywhere (6 of 7)
12C6D5C7;1943 - The Battle of Midway (USA);SZVGSVOO;;;;;0;Hit anywhere (7 of 7)
12C6D5C7;1943 - The Battle of Midway (USA);AEVYZLAE;;;;;0;Start on mission 5
12C6D5C7;1943 - The Battle of Midway (USA);ZOVYZLAA;;;;;0;Start on mission 10
12C6D5C7;1943 - The Battle of Midway (USA);GOVYZLAE;;;;;0;Start on mission 15
12C6D5C7;1943 - The Battle of Midway (USA);TXVYZLAA;;;;;0;Start on mission 20
12C6D5C7;1943 - The Battle of Midway (USA);;;0347;01;;0;Infinite power points
12C6D5C7;1943 - The Battle of Midway (USA);;;040E;60;;0;Invincibility
12C6D5C7;1943 - The Battle of Midway (USA);;;0410;09;;0;Infinite energy (alt)
E6A477B2;3-D WorldRunner (USA);ATPXIG;;;;;0;Invincibility
E6A477B2;3-D WorldRunner (USA);AEUOLTPA;;;;;0;Infinite lives
